ID,DIS_sent,DIS_received,DIO_sent,DIO_received,DAO_sent,DAO_received,E_CPU_mJ,E_LPM_mJ,E_TX_mJ,E_RX_mJ,Power_mW,attack,msgs_sent_total,msgs_recv_total,msgs_total,E_total_mJ,TX_RX_ratio,CPU_LPM_ratio,msgs_sent_recv_ratio,E_per_msg_mJ,Power_over_Etotal
1,0.0,2.8903717578961645,5.666426688112432,7.956476798036782,0.0,4.663439094112067,1318.2268798828125,578.8445465698242,46.81400756835937,213899.04477539065,14565.882783089532,0,288,2975,3263,215842.9302094117,0.0002188602927961,2.2773417970199734,0.096806722689043,66.14861483583988,0.0674837149818045
2,3.6635616461296463,0.0,6.786716950605081,3.6109179126442243,2.302585092994046,0.0,1246.9893310546877,581.1751251068116,157.80432128906247,1481.0852050781252,233.9499287483784,0,932,36,968,3467.053982528687,0.1065464166058103,2.1456343831360014,25.88888888816976,3.5816673373193235,0.0674780173389974
3,0.0,1.0986122886681098,7.254177846456518,4.343805421853684,4.477336814478207,4.584967478670572,456.7948791503906,604.6785494842529,228.6617431640625,1580.9814331054688,194.2039598249949,1,1500,175,1675,2871.116604904175,0.1446327821287346,0.7554342378099044,8.571428571379592,1.7140994656134094,0.0676405686530481
4,0.0,1.0986122886681098,6.787844982309579,4.820281565605037,2.302585092994046,3.1780538303479458,1353.2664001464846,566.6014811553955,147.34456787109374,1506.7412841796877,245.6724416862284,0,895,148,1043,3573.9537333526614,0.0977902241201378,2.38839192122223,6.047297297256438,3.42660952382477,0.0687396816006621
5,3.6635616461296463,0.6931471805599453,6.721425700790643,4.406719247264253,6.870053411798126,2.302585092994046,1294.3146423339842,579.3193991088867,451.1776245117187,1613.8957763671876,265.96512311829616,0,1829,91,1920,3938.707442321777,0.2795580923614666,2.2341986895703374,20.09890109868023,2.0514101262081907,0.0675259909533794
6,3.6635616461296463,0.6931471805599453,6.778784897685177,4.74493212836325,6.875232087276577,3.044522437723423,1348.3685302734375,574.2417531280519,423.3332702636719,1628.3004272460937,269.83553679188594,0,1883,135,2018,3974.243980911255,0.2599847443259507,2.348085145195656,13.94814814804483,1.969397413731063,0.0678960672993074
7,0.0,2.8903717578961645,5.666426688112432,7.922623574217286,0.0,4.6443908991413725,1207.6183410644533,530.2614855651856,46.81400756835937,195940.8737548828,14565.864677119773,0,288,2878,3166,197725.5675890808,0.0002389190507893,2.277401572499691,0.1000694927032313,62.452800880928095,0.0736670773270501
8,3.6635616461296463,0.0,6.740519359606223,3.58351893845611,2.302585092994046,0.0,1131.6948486328124,527.1162760620117,148.95351562499997,1345.0646118164063,234.55777205792205,0,892,35,927,3152.8292521362305,0.1107407884471356,2.146954856118936,25.485714284986123,3.4011103043504094,0.0743959641642251
9,0.0,1.0986122886681098,7.229113877793302,4.343805421853684,4.454347296253507,4.553876891600541,420.6314575195312,553.2239099578858,222.43623046875,1450.9884521484375,195.6891676494806,1,1463,172,1635,2647.2800500946046,0.1532997937642037,0.760327690013961,8.50581395343892,1.6191315291088595,0.073920840993915
10,0.0,1.0986122886681098,6.756932389247553,4.787491742782046,2.302585092994046,3.1354942159291497,1261.8263122558594,528.6685630645752,140.51530151367186,1407.5386962890625,245.9687866195853,0,868,143,1011,3338.548873123169,0.0998305068869771,2.386800351696616,6.069930069887623,3.302224404668513,0.0736753589560038
11,3.6635616461296463,0.6931471805599453,6.674561391814426,4.3694478524670215,6.852242569051878,2.1972245773362196,1202.1427001953125,536.1962341918945,431.2808349609375,1499.1284545898438,267.5990646573696,0,1774,87,1861,3668.748223937988,0.2876877119103491,2.241982736049665,20.39080459746677,1.9713853970639528,0.0729401551491748
12,3.6635616461296463,0.6931471805599453,6.739336627357174,4.709530201312334,6.837332814685591,3.044522437723423,1255.3554748535155,534.5517888336182,397.7048034667968,1518.8309326171875,270.3364923074355,0,1813,131,1944,3706.442999771118,0.2618492914028464,2.3484262910995564,13.839694656382903,1.9066064813627632,0.0729369080609243
13,0.0,2.8903717578961645,5.666426688112432,7.922623574217286,0.0,4.6443908991413725,1223.8625061035154,537.3620099487305,46.81400756835937,198566.53919677736,14565.87527312538,0,288,2878,3166,200374.577720398,0.0002357598000031,2.277538202259602,0.1000694927032313,63.289506544641405,0.072693230043636
14,3.6635616461296463,0.0,6.740519359606223,3.58351893845611,2.302585092994046,0.0,1157.8838928222656,539.5242585296631,150.4764404296875,1376.011633300781,234.33359619953285,0,892,35,927,3223.896225082397,0.1093569536680549,2.1461201688606906,25.485714284986123,3.477773705586752,0.0726864575777314
15,0.0,1.0986122886681098,7.229113877793302,4.343805421853684,4.454347296253507,4.553876891600541,420.6314575195312,553.2239099578858,222.43623046875,1450.9884521484375,195.6891676494806,1,1463,172,1635,2647.2800500946046,0.1532997937642037,0.760327690013961,8.50581395343892,1.6191315291088595,0.073920840993915
16,0.0,1.0986122886681098,6.756932389247553,4.787491742782046,2.302585092994046,3.1354942159291497,1278.9262573242188,535.5947300262451,142.3966552734375,1425.9141357421877,246.0006518232236,0,868,143,1011,3382.831778366089,0.099863415127181,2.3878619142857533,6.069930069887623,3.3460254978859973,0.0727203325321631
